7176577	basel	1	0	1	0	1	1	1	0	5.5	549	140	210	1080000
7211977	basel	0	0	0	0	0	0	1	0	4.5	435	435	128	760000
7214765	basel	0	0	0	0	0	0	0	0	6.5	421	421	163	1160000
6657363	basel	0	1	1	1	1	1	1	1	10.0	3322	505	360	2200000
6668841	basel	0	1	1	1	1	0	1	0	4.5	797	797	134	1215000
6947017	basel	0	1	0	0	1	0	1	1	8.5	448	448	448	990000
6957505	basel	0	1	1	1	1	0	0	0	10.5	51	233	183	2500000
7112357	basel	0	0	0	0	0	0	0	0	8.5	1439	1439	231	1950000
7186649	basel	0	0	0	0	0	0	0	0	4.0	1100	1100	175	490000
7196442	basel	0	1	1	0	1	0	1	1	6.5	881	881	881	587000
7210620	basel	0	1	1	1	1	0	1	1	5.5	639	639	129	900000
5634604	basel	0	0	0	1	1	0	1	1	5.5	300	300	140	600000
6647030	basel	0	0	0	0	1	0	1	1	5.5	699	699	122	750000
6889732	basel	0	0	0	0	1	0	1	1	10.0	797	797	797	460000
7006406	basel	0	0	0	1	0	0	0	0	3.0	467	467	110	668000
7049504	basel	0	0	0	0	0	0	0	1	6.5	360	360	160	348000
7154478	basel	0	0	0	0	0	0	0	0	5.5	115	115	135	595000
7157813	basel	0	0	0	0	0	0	0	0	5.5	650	650	220	1150000
7169255	basel	1	1	1	1	1	0	1	1	6.5	773	175	160	1350000
6765291	basel	0	1	1	1	1	0	1	1	5.5	235	235	120	710000
7029798	basel	0	0	0	0	1	0	0	0	5.5	295	295	100	715000
7089012	basel	0	0	0	0	0	0	0	0	6.5	526	526	193	980000
7111207	basel	0	0	1	1	1	1	1	0	4.5	330	330	137	694000
7128801	basel	0	0	0	1	1	0	1	1	5.5	252	209	160	830000
7193013	basel	1	1	1	1	1	0	1	1	8.5	880	390	270	1300000
7201835	basel	0	0	0	1	0	0	1	1	5.5	299	299	180	1875000
7202692	basel	0	0	0	0	0	0	1	0	20.0	60000	60000	465	5500000
6928495	basel	0	0	0	1	1	0	1	1	11.5	945	945	288	1540000
7005339	basel	0	0	0	0	1	0	0	1	4.5	141	141	141	1750000
